brand,conversion_rate(%)
missha,0.8749910349279207
escada,0.8731808731808732
s-oil,0.8712487899322363
phoenix,0.8698056763618995
forward,0.8692365835222978
travelite,0.869061413673233
jomalone,0.8687258687258688
neoline,0.868378841792806
electronicsdeluxe,0.8675534991324465
jockey,0.8673305493093478
zimakrasavica,0.8670520231213872
pinghudakebabycarrier,0.8670520231213872
titan,0.8656937917388079
bykilian,0.8653846153846154
benebaby,0.8646998982706002
galaxy,0.8642720118218854
adelline,0.8638211382113822
westone,0.8620689655172413
globex,0.8620689655172413
llocker,0.8620689655172413
miracase,0.8610086100861009
swat,0.8606568755379105
arktika,0.8602150537634409
rapid,0.8598188238906802
kelli,0.8591299604527478
sparta,0.8585041352031644
autoprofi,0.8584294962003941
jaguar,0.8580479806421829
